ants,seed,aco_length,error_percent,time_sec
5,0,11976.02370071097,58.79108592828123,2.499427900000228
5,1,11592.59962720888,53.70723451616123,2.4785203999999794
5,2,11074.086901454137,46.832231522860475,2.4110813999996026
5,3,11115.564015785538,47.38218000246006,2.435870100000102
5,4,11758.056351495863,55.90103886894542,2.5322464000000764
5,5,11119.879368775235,47.439397623644055,2.3351259999999456
5,6,12224.95998678472,62.09175267548023,2.3698595999994723
5,7,11749.588211308743,55.788759099824226,2.384086000000025
5,8,11980.36807427705,58.848688335680855,2.3412872000008065
5,9,11338.221843999805,50.334418509676546,2.3444687999999587
10,0,10447.884268269143,38.52935916559457,4.681933699999718
10,1,11116.026122768413,47.38830711705666,4.766260500000499
10,2,11065.587854264355,46.71954195524204,4.742088599999988
10,3,11517.906773396784,52.71687580743548,4.808445400001801
10,4,11460.138385596865,51.95091998935118,4.701636399999188
10,5,11341.376243929308,50.37624295848989,4.622337400000106
10,6,11283.79147800353,49.61272179797839,4.746187999999165
10,7,11021.772754943957,46.13859393985623,4.671296800001073
10,8,11386.329581680515,50.972282971102025,4.653723499999614
10,9,11637.966052488675,54.30875169038285,4.777803099999801
20,0,10019.922956155899,32.854984833676724,9.349637199999052
20,1,10138.68519507867,34.429663154052896,9.375406199998906
20,2,10299.186892540632,36.55776839751568,9.301636199999848
20,3,10422.444907523506,38.19205658344612,9.961399800000436
20,4,10372.728755796863,37.532866027537295,9.779204700000264
20,5,10361.519911425208,37.384247035603394,9.916454000000158
20,6,10302.40660552101,36.60045883745703,9.641964800001006
20,7,10684.792810771645,41.67054906883646,9.663074000000051
20,8,10610.014834664546,40.67906171658109,9.963558100000228
20,9,10370.597298776407,37.50460486311863,9.742640200000096
30,0,9573.350728160767,26.933846833210918,14.81878869999855
30,1,9866.882713003799,30.825811628265697,14.586330399999497
30,2,9820.697826400212,30.213442407852188,15.137365700000373
30,3,9754.87873383976,29.34074163139432,14.730102999999872
30,4,9590.489167482836,27.161086813614904,14.734555900000487
30,5,9612.803449967625,27.456953725372912,14.688465799999904
30,6,9348.071044991639,23.946844934919636,14.689641499999198
30,7,9634.27048123665,27.741586863387035,14.613038999999844
30,8,9449.313790981243,25.289230853636212,14.535912299999836
30,9,9588.897797990037,27.139986714267266,14.502689800001463
40,0,8931.811078118337,18.42761970456559,19.386146500000905
40,1,9103.701589758599,20.706730174470948,19.6184820999988
40,2,9428.414324301946,25.012123101325194,19.897687399999995
40,3,9156.24893896217,21.403459811219435,19.437562099999923
40,4,9293.71737654291,23.226165162329764,19.715077400000155
40,5,9210.265657255759,22.119671933913537,19.343633399999817
40,6,9005.745760852735,19.407925760444638,19.195182299999942
40,7,8761.068083367363,16.16372425573274,19.15263969999978
40,8,8547.4231916055,13.330989016249001,18.954302499998448
40,9,8691.475421931567,15.240989418344833,19.377513200000976
60,0,8044.541749257972,6.663242498779791,28.634341200000563
60,1,8448.461068300014,12.018842061787506,29.15866239999923
60,2,8329.475090150072,10.441197164546168,28.707726199998433
60,3,8505.112410802738,12.76998688415192,29.088138699999035
60,4,8566.005457091485,13.577372806834864,28.917075900000782
60,5,8585.788014202126,13.839671363061864,29.63178969999717
60,6,8415.497191756747,11.581771304120224,29.441200400000525
60,7,8626.113420788895,14.374349254692328,29.459503400001267
60,8,8247.48135103565,9.354035415481977,28.68442800000048
60,9,8644.990386783527,14.62464050362672,28.022406500000216
80,0,8044.541749257972,6.663242498779791,37.64137479999772
80,1,8118.934475791776,7.649621795170725,37.54503509999995
80,2,8190.73452613518,8.601624584131267,37.43327159999899
80,3,8111.7050960122615,7.5537668524563975,37.94170130000202
80,4,8014.176193977752,6.260623097026673,38.74185139999827
80,5,8480.205905906043,12.439749481649999,39.02889649999997
80,6,7985.45402013542,5.879793425290642,38.786417500003154
80,7,8406.634313307159,11.464257667822311,38.647582200002944
80,8,8065.487455215347,6.940963341492269,39.021987699998135
80,9,8300.325670393611,10.054702603999088,38.681852400000935
120,0,7867.825157560381,4.320142635380281,58.13128479999796
120,1,7800.117151002,3.4223965924423276,57.66288279999935
120,2,8088.877594156893,7.251095122737906,58.08059829999911
120,3,7857.545691345231,4.183846345070682,57.77691330000016
120,4,7821.890811008513,3.711095346174928,57.961357499996666
120,5,7658.958320375772,1.5507600155896581,56.7205434000025
120,6,7717.014811018147,2.3205358130223703,57.49211809999906
120,7,7932.880060032317,5.182710952430609,57.54097389999879
120,8,7873.904306280865,4.400746569621653,55.7340011999986
120,9,7710.300959511103,2.23151630218912,55.57648809999955
