"name;x;y"
"Warszawa;52.2297;21.0122"
"Krakow;50.0647;19.9450"
"Gdansk;54.3520;18.6466"
"Wroclaw;51.1079;17.0385"
"Poznan;52.4064;16.9252"
"Lodz;51.7592;19.4560"
"Szczecin;53.4285;14.5528"
"Bydgoszcz;53.1235;18.0084"
"Lublin;51.2465;22.5684"
"Bialystok;53.1325;23.1688"
"Katowice;50.2649;19.0238"
"Rzeszow;50.0412;21.9991"
"Olsztyn;53.7784;20.4801"
"Kielce;50.8661;20.6286"
"Torun;53.0138;18.5984"
"Opole;50.6751;17.9213"
"ZielonaGora;51.9356;15.5062"
"GorzowWlkp;52.7368;15.2288"
"Koszalin;54.1944;16.1722"
"Radom;51.4027;21.1471"
"Czestochowa;50.8118;19.1203"
"Gliwice;50.2945;18.6714"
"Tarnow;50.0121;20.9858"
"Plock;52.5468;19.7064"
"Elblag;54.1561;19.4045"
